Fecha,Foto,Area,%Por,LAI4,LAI5,%Cob,Longitud,Latitud,Poligono,EVI_20160913,GNDVI_20160913,NDRE_20160913,NDVI_20160913,SAVI_20160913,EVI_20161222,GNDVI_20161222,NDRE_20161222,NDVI_20161222,SAVI_20161222,EVI_20170814,GNDVI_20170814,NDRE_20170814,NDVI_20170814,SAVI_20170814,LAI4_outlier_zscore,LAI4_outlier_iqr,LAI5_outlier_zscore,LAI5_outlier_iqr,%Cob_outlier_zscore,%Cob_outlier_iqr,outlier_isoforest,outlier_lof,outlier_dbscan,outlier_ocsvm,n_metodos,outlier_consenso
9/18/2016,3104,99.9,17.03,2.29,1.95,82.97,-73.31675846650835,3.803340940302038,5,0.66925484,0.53997284,0.4514705,0.59755164,0.49398297,0.5273598,0.4816391,0.36117193,0.4981966,0.40160638,0.6762064,0.53267235,0.44822267,0.58823425,0.48502323,,,,,,,False,False,False,False,0,False
9/18/2016,3105,99.9,16.3,2.33,1.95,83.7,-73.3148973701069,3.803729376537474,5,0.6065028,0.5061049,0.40320316,0.55136174,0.4504962,0.55087316,0.48221123,0.37460127,0.51557624,0.41577953,0.651165,0.5159566,0.42499936,0.57051736,0.46901548,,,,,,,False,False,False,False,0,False
9/18/2016,3106,99.89,15.69,2.34,2.01,84.31,-73.31467919771963,3.801768519748164,5,0.6059398,0.4842066,0.37918693,0.5311602,0.45229387,0.39152446,0.3984872,0.28001302,0.3831837,0.30730563,0.540998,0.47058743,0.36950266,0.48498064,0.4021231,,,,,,,False,False,False,False,0,False
9/18/2016,3107,99.9,22.7,2.1,1.64,77.3,-73.31611734729854,3.80211261612699,5,0.50545037,0.4453447,0.33443087,0.46266127,0.3880775,0.37659448,0.38613093,0.2551515,0.359806,0.29546753,0.5052956,0.44512537,0.33559027,0.45754477,0.3764441,,,,,,,False,False,False,False,0,False
9/18/2016,3108,99.91,22.13,2.08,1.65,77.87,-73.31443066308749,3.802381333558434,5,0.60323477,0.4870669,0.36991063,0.53317183,0.45116872,0.5080866,0.45883903,0.33181337,0.47084486,0.38433468,0.5891932,0.50082785,0.37686667,0.52303976,0.4342925,,,,,,,False,False,False,False,0,False
9/18/2016,3109,99.89,22.77,2.16,1.71,77.23,-73.316729704746,3.801547763778764,5,0.5619465,0.4588079,0.33342937,0.49480435,0.4169099,0.33153626,0.35618052,0.22400714,0.32039443,0.26467338,0.46652666,0.4393699,0.30169025,0.43177876,0.3567888,,,,,,,False,False,False,False,0,False
9/18/2016,3110,99.9,45.9,0.85,0.75,54.1,-73.31657856679767,3.804247187060122,5,0.70247084,0.5423991,0.45011395,0.61230874,0.5095918,0.52710295,0.46748716,0.35336122,0.48940513,0.40088657,0.63587016,0.50340974,0.40190962,0.56035304,0.4552914,,,,,,,False,False,False,False,0,False
9/18/2016,3111,99.89,16.92,2.51,2.09,83.08,-73.31778404219563,3.80136320275284,5,0.49494553,0.43464187,0.2820481,0.44440773,0.37469596,0.27339885,0.3193636,0.16578357,0.2702604,0.22124724,0.4702097,0.41974816,0.27730086,0.42993766,0.35460362,,,,,,,True,True,True,True,4,True
9/18/2016,3112,99.89,13.49,2.85,2.39,86.51,-73.31967019517177,3.803097945899341,5,0.6852163,0.54412854,0.42985538,0.6013279,0.50187916,0.607543,0.5045081,0.39758143,0.5427025,0.45068237,0.65268064,0.51560587,0.41408178,0.5712051,0.46861747,,,,,,,False,False,False,False,0,False
9/18/2016,3113,99.89,14.94,2.52,2.13,85.06,-73.31522787693314,3.80222537410156,5,0.52851856,0.45023167,0.3346235,0.47265545,0.3978231,0.40116838,0.39888275,0.26553258,0.3807316,0.3087798,0.5042363,0.4456013,0.33172008,0.45981294,0.37775794,,,,,,,False,False,False,False,0,False
